Date,Open,High,Low,Close
2011-02-01,8625.6,8665.5,8352.75,8449.5
2011-02-02,8491.25,8555.25,8411.95,8440
2011-02-03,8411.1,8551.15,8405.25,8491.3
2011-02-04,8495.85,8524,8188.75,8230
2011-02-07,8332.6,8396,8240.15,8331.4
2011-02-08,8356.05,8378.7,8239.8,8260.8
2011-02-09,8248.4,8263.2,8111.9,8181.1
2011-02-10,8167.65,8284.2,8162.9,8194.7
2011-02-11,8214.95,8230.2,8118.55,8186.7
2011-02-14,8191.35,8443.4,8191.35,8393.1
2011-02-15,8430.1,8440.4,8328.75,8376.3
2011-02-16,8345.15,8459,8345.15,8412.7
2011-02-17,8427.6,8486.4,8342.5,8474.3
2011-02-18,8466.75,8574.8,8389.85,8410
2011-02-21,8413.35,8494.9,8348.55,8473.5
2011-02-22,8459.6,8466.85,8368.25,8422.9
2011-02-23,8421.35,8443.7,8366.05,8384.8
2011-02-24,8332.4,8385.6,8104.65,8157.4
2011-02-25,8202.55,8375.05,8176.65,8357.8
2011-02-28,8348.25,8810.5,8310.8,8730.3
2011-03-01,8789.95,8962.6,8789.95,8943.1
2011-03-03,8895.05,9047.55,8895.05,8976.5
2011-03-04,9000.5,9019.1,8902.25,8926.1
2011-03-07,8882.8,8917.75,8738,8883.2
2011-03-08,8911.15,8966.25,8861.25,8881.8
2011-03-09,8903.85,8942.15,8823.85,8855.6
2011-03-10,8842.65,8852.95,8774.9,8828.4
2011-03-11,8804.4,8912.35,8783.65,8838.7
2011-03-14,8850.15,8922.2,8830.35,8910.9
2011-03-15,8828.4,8891.65,8684.95,8775.4
2011-03-16,8798.6,8844.8,8784.55,8803.1
2011-03-17,8749.1,8801.85,8654.7,8674.8
2011-03-18,8726.75,8742.8,8575.8,8649.5
2011-03-21,8672.3,8705.5,8611.55,8623.4
2011-03-22,8653.7,8723.65,8618.75,8686.1
2011-03-23,8683.05,8778.95,8664.65,8756
2011-03-24,8787.2,8814.05,8765.6,8790
2011-03-25,8851.15,8948.8,8821.05,8930
2011-03-28,8905.8,9046.4,8905.8,9006.3
2011-03-29,9029.3,9064.15,9008.25,9030
2011-03-30,9033.35,9117.2,8972.55,9005.6
2011-03-31,9026.35,9254.65,9026.35,9188.4
2011-04-01,9180.95,9289.7,9174.3,9209.4
2011-04-04,9231.4,9289.7,9212.25,9280.2
2011-04-05,9273.8,9325.3,9239.75,9270
2011-04-06,9249.75,9307.65,9166.3,9257.2
2011-04-07,9260.85,9276,9230.7,9249.9
2011-04-08,9262.55,9347.6,9228.45,9283
2011-04-11,9286.55,9400.9,9260.05,9282.4
